OTU_2	Staphylococcus_aureus_16S	100.0	425	0	0	1	425	1	1556	-1	0
OTU_7	Enterococcus_faecalis_16S	100.0	425	0	0	1	425	1	1562	-1	0
OTU_12	Staphylococcus_aureus_16S	99.5	442	2	0	1	442	1	1556	-1	0
OTU_4	Bacillus_subtilis_16S	100.0	426	0	0	1	426	1	1558	-1	0
OTU_8	Bacillus_subtilis_16S	99.8	426	1	0	1	426	1	1558	-1	0
OTU_20	Staphylococcus_aureus_16S	99.8	425	1	0	1	425	1	1556	-1	0
OTU_19	Listeria_monocytogenes_16S	99.5	442	2	0	1	442	1	1552	-1	0
OTU_9	Salmonella_enterica_16S_1	99.5	425	2	0	1	425	1	1536	-1	0
OTU_5	Salmonella_enterica_16S_1	100.0	425	0	0	1	425	1	1536	-1	0
OTU_6	Escherichia_coli_16S_1	100.0	425	0	0	1	425	1	1542	-1	0
OTU_22	Lactobacillus_fermentum_16S	99.8	425	1	0	1	425	1	1568	-1	0
OTU_23	Staphylococcus_aureus_16S	99.5	442	2	0	1	442	1	1556	-1	0
OTU_24	Staphylococcus_aureus_16S	100.0	420	0	0	1	420	1	1556	-1	0
OTU_3	Listeria_monocytogenes_16S	100.0	425	0	0	1	425	1	1552	-1	0
OTU_11	Staphylococcus_aureus_16S	99.8	425	1	0	1	425	1	1556	-1	0
OTU_27	Listeria_monocytogenes_16S	99.8	425	1	0	1	425	1	1552	-1	0
OTU_28	Lactobacillus_fermentum_16S	99.8	425	1	0	1	425	1	1568	-1	0
OTU_1	Lactobacillus_fermentum_16S	100.0	425	0	0	1	425	1	1568	-1	0
OTU_14	Lactobacillus_fermentum_16S	99.5	442	2	0	1	442	1	1568	-1	0
OTU_17	Bacillus_subtilis_16S	99.5	443	2	0	1	443	1	1558	-1	0
OTU_32	Bacillus_subtilis_16S	99.8	426	1	0	1	426	1	1558	-1	0
OTU_36	Bacillus_subtilis_16S	94.8	426	21	1	1	425	1	1558	-1	0
OTU_13	Salmonella_enterica_16S_1	99.5	442	2	0	1	442	1	1536	-1	0
OTU_33	Listeria_monocytogenes_16S	99.5	442	2	0	1	442	1	1552	-1	0
OTU_10	Pseudomonas_aeruginosa_16S	100.0	425	0	0	1	425	1	1526	-1	0
OTU_16	Escherichia_coli_16S_1	99.5	442	2	0	1	442	1	1542	-1	0
OTU_35	Bacillus_subtilis_16S	99.8	426	1	0	1	426	1	1558	-1	0
OTU_31	Salmonella_enterica_16S_1	100.0	422	0	0	1	422	1	1536	-1	0
OTU_39	Listeria_monocytogenes_16S	94.8	426	21	1	1	426	1	1552	-1	0
OTU_37	Staphylococcus_aureus_16S	93.6	425	27	0	1	425	1	1556	-1	0
OTU_40	Enterococcus_faecalis_16S	99.5	442	2	0	1	442	1	1562	-1	0
OTU_38	Escherichia_coli_16S_1	100.0	422	0	0	1	422	1	1542	-1	0
OTU_18	Listeria_monocytogenes_16S	99.8	425	1	0	1	425	1	1552	-1	0
OTU_41	Lactobacillus_fermentum_16S	100.0	422	0	0	1	422	1	1568	-1	0
OTU_29	Bacillus_subtilis_16S	99.5	443	2	0	1	443	1	1558	-1	0
OTU_26	Salmonella_enterica_16S_1	99.5	442	2	0	1	442	1	1536	-1	0
OTU_30	Escherichia_coli_16S_1	99.5	442	2	0	1	442	1	1542	-1	0
OTU_43	Lactobacillus_fermentum_16S	99.8	425	1	0	1	425	1	1568	-1	0
OTU_15	Salmonella_enterica_16S_1	99.5	442	2	0	1	442	1	1536	-1	0
OTU_25	Lactobacillus_fermentum_16S	99.5	442	2	0	1	442	1	1568	-1	0
OTU_21	Escherichia_coli_16S_1	99.5	442	2	0	1	442	1	1542	-1	0
